City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
169,salinopolis,-0.6136,-47.3561,26.25,83,70,70,70,70
170,leava,-14.3,-178.1667,27.43,76,41,41,41,41
171,utrik,11.2278,169.8474,28.42,77,96,96,96,96
172,chibougamau,49.9168,-74.3659,11.79,94,100,100,100,100
173,toliara,-23.35,43.6667,18.83,80,3,3,3,3
174,lihue,21.9789,-159.3672,35.58,69,75,75,75,75
175,arno,60.1167,18.6333,14.32,75,0,0,0,0
176,butembo,0.15,29.2833,14.95,94,100,100,100,100
177,longyearbyen,78.2186,15.6401,6.91,87,0,0,0,0
178,mao,39.8885,4.2658,21.31,83,0,0,0,0
179,alness,57.696,-4.2551,12.05,80,100,100,100,100
180,college,64.8569,-147.8028,18.66,84,100,100,100,100
181,dudinka,69.4058,86.1778,20.9,54,93,93,93,93
182,kapa'a,22.0752,-159.319,35.99,76,75,75,75,75
183,lompoc,34.6391,-120.4579,26.12,81,0,0,0,0
184,chetwayi,10.5333,76.05,25.86,86,91,91,91,91
185,richards bay,-28.783,32.0377,19.04,77,77,77,77,77
186,ulanhot,46.0833,122.0833,21.83,70,29,29,29,29
187,thunder bay,48.4001,-89.3168,17.99,82,100,100,100,100
188,benguela,-12.5763,13.4055,19.07,92,6,6,6,6
189,puerto aysen,-45.4,-72.7,5.73,100,100,100,100,100
190,kaa-khem,51.6833,94.7333,18.79,81,100,100,100,100
191,fale old settlement,-9.3852,-171.2468,27.79,80,34,34,34,34
192,talbahat,25.05,78.4333,26.02,77,100,100,100,100
193,heroica matamoros,25.8833,-97.5,31.94,70,0,0,0,0
194,forster,-32.1667,152.5167,19.05,60,0,0,0,0
195,amga,60.8953,131.9608,20.95,32,66,66,66,66
196,koryazhma,61.3143,47.1691,14.2,92,10,10,10,10
197,bardai,11.65,7.2333,20.45,96,70,70,70,70
198,kerikeri,-35.2268,173.9474,16.06,68,94,94,94,94
199,hermanus,-34.4187,19.2345,11.0,84,0,0,0,0
200,nar'yan-mar,67.6713,53.087,12.88,65,27,27,27,27
201,macau,22.2006,113.5461,33.25,79,20,20,20,20
202,puerto armuelles,8.2833,-82.8667,27.27,91,100,100,100,100
203,boa vista,2.8197,-60.6733,24.99,88,20,20,20,20
204,medicine hat,50.0501,-110.6683,28.24,28,75,75,75,75
